Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
08/09/2018 09:00:00 AM,08/09/2018 10:40:00 AM,Manhattan,Central Park,96st Transverse Rd. and Bridlepath fork behind Transverse Rd. fence,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Juvenile,Small Mammals-RVS,1-1-1599116593,ACC,1,false,false,,,false,false,37598
08/09/2018 07:30:00 AM,08/09/2018 09:00:00 AM,Manhattan,Central Park,E 102nd St and East Drive.  South of Compost Hill,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,1-1-1599116596,ACC,1,false,true,,3.5,true,false,37618
08/09/2018 11:50:00 AM,08/09/2018 11:55:00 AM,Manhattan,Central Park,E96th Bridal Path heading north by the reservoir,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
08/09/2018 08:30:00 AM,08/09/2018 09:24:00 AM,Manhattan,Central Park,E. 90th and East Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1599116593,ACC,1,false,false,,,false,false,37609
08/09/2018 08:00:00 AM,08/09/2018 10:30:00 AM,Manhattan,Central Park,W96th st/CPW near the grass area by the edge of the transverse,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,,Monitored Animal,1,false,false,,,false,false,
08/09/2018 08:30:00 AM,08/09/2018 09:50:00 AM,Manhattan,Central Park,Outside the Loeb Boathouse Bathrooms,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
08/09/2018 08:30:00 AM,08/09/2018 10:44:00 AM,Manhattan,Central Park,West of Cherry Hill Fountain - on trail in Wagner's Cove,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.75,Adult,Small Mammals-RVS,1-1-1599116595,ACC,1,false,false,,,false,false,37611
08/09/2018 08:30:00 AM,08/09/2018 09:30:00 AM,Manhattan,Central Park,South of Belvedere Castle,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1601946860,ACC,1,false,false,,,false,false,37610
08/09/2018 08:30:00 AM,08/09/2018 10:05:00 AM,Manhattan,Central Park,Ramble - area known as Oven,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.75,Juvenile,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
08/08/2018 01:30:00 PM,08/08/2018 04:00:00 PM,Manhattan,Central Park,West 72nd on the Bridal Path,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1,Adult,Small Mammals-non RVS,N/A,Unfounded,1,false,false,,,false,false,
08/08/2018 03:30:00 PM,08/08/2018 03:40:00 PM,Manhattan,Central Park,Delacorte Theater. Nearest cross street is West 81st and central Park West,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,1,Adult,Small Mammals-RVS,N/A,Unfounded,1,false,false,,,false,false,
08/08/2018 12:00:00 PM,08/08/2018 02:30:00 PM,Manhattan,Central Park,East 72nd Eastdrive at the entrance to the Loeb Boathouse parking lot,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-159789210,ACC,1,false,false,,,false,false,1-1-1599539332
08/08/2018 08:00:00 AM,08/08/2018 09:30:00 AM,Manhattan,Central Park,Dead Road. Nearest cross street Central Park West West 67th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-159789210,ACC,1,false,false,,,false,false,37471
08/08/2018 11:30:00 AM,08/08/2018 02:00:00 PM,Manhattan,Central Park,West 85th West Drive near Spector Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1599539331,ACC,1,false,false,,,false,false,37522
08/08/2018 12:32:00 PM,08/08/2018 01:30:00 PM,Manhattan,Central Park,Tennis Courts near Tennis House at East 96th off  the Eastdrive,Raccoon,Employee,Native,DOA,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
08/06/2018 03:30:00 PM,08/06/2018 03:30:00 PM,Queens,Evergreen Park,,House Sparrow,Central,Native,Injured,3,Juvenile,Birds,1-1-1599116094,ACC,1,false,false,,,false,false,45070
08/08/2018 01:33:00 PM,08/08/2018 01:38:00 PM,Staten Island,Ocean Breeze Track & Field Athletic Complex,Garage of Rec Center,Raccoon,Employee,Native,,1,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
08/06/2018 04:15:00 PM,08/07/2018 03:15:00 PM,Queens,Baisley Pond Park,near the parking lot,Iguana,Employee,Exotic,N/A,2.5,Adult,Terrestrial Reptile or Amphibian,1-1-1599178290,Unfounded,1,false,false,,,false,false,
08/07/2018 12:00:00 PM,08/07/2018 01:15:00 PM,Manhattan,Central Park,59th St Pond at the fence inside the Hallet,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1598976930,ACC,1,false,false,,,false,false,37377
08/07/2018 08:00:00 AM,08/07/2018 11:30:00 PM,Manhattan,Central Park,Just north of the 79th St Yard not far from West 79th and Central Park West entrance,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1598976930,ACC,1,false,false,,,false,false,37364
08/07/2018 01:30:00 PM,08/07/2018 03:30:00 PM,Manhattan,Central Park,West Drive at West 69th Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1600705902,ACC,1,false,false,,,false,false,37395
08/06/2018 01:30:00 PM,08/06/2018 01:30:00 PM,Manhattan,Central Park,ball field cafe north of Hecksher ball fields,raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,0.75,Juvenile,Small Mammals-RVS,n/a,Relocated/Condition Corrected,1,false,false,,,false,false,
08/06/2018 12:30:00 PM,08/06/2018 01:00:00 PM,Manhattan,Central Park,Ramble by Oak bridge,raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.75,Adult,Small Mammals-RVS,n/a,Monitored Animal,1,false,false,,,false,false,
08/06/2018 03:17:00 PM,08/06/2018 03:20:00 PM,Manhattan,Central Park,Wollman Rink,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1599148140,ACC,1,false,false,,,false,false,37294
08/05/2018 09:30:00 AM,08/05/2018 11:30:00 AM,Manhattan,Central Park,100th St and CPW,raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,1.5,Adult,Small Mammals-RVS,1-1-1597160393,ACC,1,false,false,,,false,false,37171
08/05/2018 02:40:00 PM,08/05/2018 03:20:00 PM,Manhattan,Central Park,81st/ Diana Ross Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1597683604,ACC,1,false,false,,,false,false,37201
08/04/2018 05:35:00 PM,08/04/2018 05:35:00 PM,Manhattan,Central Park,Loeb Boathouse Dock,Raccoon,Employee,Native,DOA,0.05,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
08/04/2018 04:30:00 PM,08/04/2018 04:45:00 PM,Manhattan,Central Park,Dana Center,Raccoon,"Conservancies/""Friends of"" Groups",Exotic,Healthy,1,Juvenile,Small Mammals-RVS,N/A,Monitored Animal,1,false,true,,0.3,false,false,
08/04/2018 04:00:00 PM,08/04/2018 04:00:00 PM,Manhattan,Central Park,Across from Dana Center on lawn near park entrance,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile;#Adult,Small Mammals-RVS,1-1-1599567881,ACC,1,false,false,,,false,false,37074
08/04/2018 03:30:00 PM,08/04/2018 03:35:00 PM,Manhattan,Central Park,Bridal Path at 95th Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1599567880,ACC,1,false,false,,,false,false,37073
08/04/2018 08:45:00 AM,08/04/2018 09:50:00 AM,Manhattan,Central Park,,Raccoon,Central,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1596705665,ACC,1,false,false,,,false,false,37022
